"С КОГО И КАК ВЗЫСКИВАЮТСЯ АЛИМЕНТЫ, ЕСЛИ ДЕТИ ЖИВУТ У РАЗНЫХ РОДИТЕЛЕЙ?","С КОГО И КАК ВЗЫСКИВАЮТСЯ АЛИМЕНТЫ, ЕСЛИ ДЕТИ ЖИВУТ У РАЗНЫХ РОДИТЕЛЕЙ?"
"С КОГО И КАК ВЗЫСКИВАЮТСЯ АЛИМЕНТЫ, ЕСЛИ ДЕТИ ЖИВУТ У РАЗНЫХ РОДИТЕЛЕЙ?","На кого и в каком порядке накладывается взыскание алиментов, когда дети проживают у разных родителей?"
"В КАКОЙ СУД И В КАКОЙ СРОК ОБРАЩАТЬСЯ ЗА ЗАЩИТОЙ ПРАВ ПОТРЕБИТЕЛЕЙ?","В КАКОЙ СУД И В КАКОЙ СРОК ОБРАЩАТЬСЯ ЗА ЗАЩИТОЙ ПРАВ ПОТРЕБИТЕЛЕЙ?"
"В КАКОМ СЛУЧАЕ ПОЛУЧАЮТ ПЕНСИЮ ИНОСТРАННЫЕ ГРАЖДАНЕ, В ТОМ ЧИСЛЕ ГРАЖДАНЕ СНГ?","В КАКОМ СЛУЧАЕ ПОЛУЧАЮТ ПЕНСИЮ ИНОСТРАННЫЕ ГРАЖДАНЕ, В ТОМ ЧИСЛЕ ГРАЖДАНЕ СНГ?"
"В КАКИХ СЛУЧАЯХ И В КАКОМ РАЗМЕРЕ РОДИТЕЛИ ДОЛЖНЫ ВОЗМЕСТИТЬ ВРЕД, ПРИЧИНЕННЫЙ ИХ ДЕТЬМИ?","В КАКИХ СЛУЧАЯХ И В КАКОМ РАЗМЕРЕ РОДИТЕЛИ ДОЛЖНЫ ВОЗМЕСТИТЬ ВРЕД, ПРИЧИНЕННЫЙ ИХ ДЕТЬМИ?"
"В КАКИХ СЛУЧАЯХ У НАЛОГОПЛАТЕЛЬЩИКА ВОЗНИКАЕТ ДОХОД В ВИДЕ МАТЕРИАЛЬНОЙ ВЫГОДЫ И НЕОБХОДИМОСТЬ ПОДАЧИ ДЕКЛАРАЦИИ ПО ФОРМЕ 3-НДФЛ?","В КАКИХ СЛУЧАЯХ У НАЛОГОПЛАТЕЛЬЩИКА ВОЗНИКАЕТ ДОХОД В ВИДЕ МАТЕРИАЛЬНОЙ ВЫГОДЫ И НЕОБХОДИМОСТЬ ПОДАЧИ ДЕКЛАРАЦИИ ПО ФОРМЕ 3-НДФЛ?"
"В КАКИХ СЛУЧАЯХ БАНК МОЖЕТ ДОСРОЧНО ВЗЫСКАТЬ СУММУ КРЕДИТА И ПРОЦЕНТЫ?","В КАКИХ СЛУЧАЯХ БАНК МОЖЕТ ДОСРОЧНО ВЗЫСКАТЬ СУММУ КРЕДИТА И ПРОЦЕНТЫ?"
"В КАКИХ СЛУЧАЯХ МОГУТ НЕ ПУСТИТЬ В САМОЛЕТ ПО СОСТОЯНИЮ ЗДОРОВЬЯ?","В КАКИХ СЛУЧАЯХ МОГУТ НЕ ПУСТИТЬ В САМОЛЕТ ПО СОСТОЯНИЮ ЗДОРОВЬЯ?"
"В КАКИХ СЛУЧАЯХ МОГУТ ВЫСЕЛИТЬ ИЗ ЖИЛОГО ПОМЕЩЕНИЯ?","В КАКИХ СЛУЧАЯХ МОГУТ ВЫСЕЛИТЬ ИЗ ЖИЛОГО ПОМЕЩЕНИЯ?"
"В КАКИХ СЛУЧАЯХ СНИМАЮТ С УЧЕТА В НАРКОЛОГИЧЕСКОМ ДИСПАНСЕРЕ?","В КАКИХ СЛУЧАЯХ СНИМАЮТ С УЧЕТА В НАРКОЛОГИЧЕСКОМ ДИСПАНСЕРЕ?"
"В КАКИХ СЛУЧАЯХ СНИМАЮТ С УЧЕТА В НАРКОЛОГИЧЕСКОМ ДИСПАНСЕРЕ?","Как сняться с нарколожки"
"В КАКИХ СЛУЧАЯХ ПАСПОРТ ГРАЖДАНИНА РФ ПОДЛЕЖИТ ИЗЪЯТИЮ?","В КАКИХ СЛУЧАЯХ ПАСПОРТ ГРАЖДАНИНА РФ ПОДЛЕЖИТ ИЗЪЯТИЮ?"
"В КАКИХ СЛУЧАЯХ ВОЗМОЖЕН ВОЗВРАТ ГОСПОШЛИНЫ?","В КАКИХ СЛУЧАЯХ ВОЗМОЖЕН ВОЗВРАТ ГОСПОШЛИНЫ?"
"В КАКИХ СЛУЧАЯХ ВОЗМОЖНО ЗАКЛЮЧЕНИЕ БРАКА ДО ДОСТИЖЕНИЯ 18 ЛЕТ?","В КАКИХ СЛУЧАЯХ ВОЗМОЖНО ЗАКЛЮЧЕНИЕ БРАКА ДО ДОСТИЖЕНИЯ 18 ЛЕТ?"
"В КАКИХ СЛУЧАЯХ ВОЗМОЖНА БЕСПЛАТНАЯ ПАРКОВКА В МОСКВЕ?","В КАКИХ СЛУЧАЯХ ВОЗМОЖНА БЕСПЛАТНАЯ ПАРКОВКА В МОСКВЕ?"
"В КАКИХ СЛУЧАЯХ ГРАЖДАНИН МОЖЕТ БЫТЬ ИСКЛЮЧЕН ИЗ ЧЛЕНОВ СНТ?","В КАКИХ СЛУЧАЯХ ГРАЖДАНИН МОЖЕТ БЫТЬ ИСКЛЮЧЕН ИЗ ЧЛЕНОВ СНТ?"
"В КАКИХ СЛУЧАЯХ ГРАЖДАНИН МОЖЕТ БЫТЬ ИСКЛЮЧЕН ИЗ ЧЛЕНОВ СНТ?","Когда человека могут исключить из СНТ?"
"В КАКИХ СЛУЧАЯХ ИНСПЕКТОР ВПРАВЕ ОСТАНАВЛИВАТЬ ТРАНСПОРТНЫЕ СРЕДСТВА?","В КАКИХ СЛУЧАЯХ ИНСПЕКТОР ВПРАВЕ ОСТАНАВЛИВАТЬ ТРАНСПОРТНЫЕ СРЕДСТВА?"
"В КАКИХ СЛУЧАЯХ ТРЕБУЕТСЯ СПРАВКА ДЛЯ ПОСЕЩЕНИЯ БАССЕЙНА?","В КАКИХ СЛУЧАЯХ ТРЕБУЕТСЯ СПРАВКА ДЛЯ ПОСЕЩЕНИЯ БАССЕЙНА?"
"В КАКИХ СЛУЧАЯХ КРЕДИТНЫЙ ДОГОВОР ПРИЗНАЕТСЯ НЕДЕЙСТВИТЕЛЬНЫМ?","В КАКИХ СЛУЧАЯХ КРЕДИТНЫЙ ДОГОВОР ПРИЗНАЕТСЯ НЕДЕЙСТВИТЕЛЬНЫМ?"
"В КАКИХ СЛУЧАЯХ СТРАХОВАЯ КОМПАНИЯ ИМЕЕТ ПРАВО РЕГРЕССНОГО ТРЕБОВАНИЯ К ВИНОВНИКУ ДТП ПО ДОГОВОРУ ОСАГО?","В КАКИХ СЛУЧАЯХ СТРАХОВАЯ КОМПАНИЯ ИМЕЕТ ПРАВО РЕГРЕССНОГО ТРЕБОВАНИЯ К ВИНОВНИКУ ДТП ПО ДОГОВОРУ ОСАГО?"
"В КАКОМ ПОРЯДКЕ ГРАЖДАНИН ПРИЗНАЕТСЯ МАЛОИМУЩИМ В ЦЕЛЯХ ПОЛУЧЕНИЯ СОЦИАЛЬНОГО ЖИЛЬЯ?","В КАКОМ ПОРЯДКЕ ГРАЖДАНИН ПРИЗНАЕТСЯ МАЛОИМУЩИМ В ЦЕЛЯХ ПОЛУЧЕНИЯ СОЦИАЛЬНОГО ЖИЛЬЯ?"
"В КАКИХ СЛУЧАЯХ ОТКАЗЫВАЮТ В ВЫДАЧЕ ЛИСТКА НЕТРУДОСПОСОБНОСТИ?","В КАКИХ СЛУЧАЯХ ОТКАЗЫВАЮТ В ВЫДАЧЕ ЛИСТКА НЕТРУДОСПОСОБНОСТИ?"
"В КАКИХ СЛУЧАЯХ ФИЗИЧЕСКИЕ ЛИЦА УПЛАЧИВАЮТ СБОР ЗА ПОЛЬЗОВАНИЕ ОБЪЕКТАМИ ЖИВОТНОГО МИРА И ВОДНЫХ РЕСУРСОВ?","В КАКИХ СЛУЧАЯХ ФИЗИЧЕСКИЕ ЛИЦА УПЛАЧИВАЮТ СБОР ЗА ПОЛЬЗОВАНИЕ ОБЪЕКТАМИ ЖИВОТНОГО МИРА И ВОДНЫХ РЕСУРСОВ?"
"В КАКИХ СЛУЧАЯХ ФИЗИЧЕСКИЕ ЛИЦА УПЛАЧИВАЮТ СБОР ЗА ПОЛЬЗОВАНИЕ ОБЪЕКТАМИ ЖИВОТНОГО МИРА И ВОДНЫХ РЕСУРСОВ?","Когда нужно платить за охоту"
"В КАКИХ СЛУЧАЯХ ПРАВОМЕРНО ЗАКЛЮЧЕНИЕ СРОЧНОГО ТРУДОВОГО ДОГОВОРА?","В КАКИХ СЛУЧАЯХ ПРАВОМЕРНО ЗАКЛЮЧЕНИЕ СРОЧНОГО ТРУДОВОГО ДОГОВОРА?"
"В КАКИХ СЛУЧАЯХ ПРАВОМЕРНО УВОЛЬНЕНИЕ НЕТРЕЗВОГО РАБОТНИКА?","В КАКИХ СЛУЧАЯХ ПРАВОМЕРНО УВОЛЬНЕНИЕ НЕТРЕЗВОГО РАБОТНИКА?"
"В КАКИХ СЛУЧАЯХ НЕОБХОДИМА ДОВЕРЕННОСТЬ НА АВТОМОБИЛЬ?","В КАКИХ СЛУЧАЯХ НЕОБХОДИМА ДОВЕРЕННОСТЬ НА АВТОМОБИЛЬ?"
"В КАКИХ СЛУЧАЯХ ПЕНСИОНЕРУ ВЫПЛАЧИВАЕТСЯ НАДБАВКА НА ИЖДИВЕНЦЕВ?","В КАКИХ СЛУЧАЯХ ПЕНСИОНЕРУ ВЫПЛАЧИВАЕТСЯ НАДБАВКА НА ИЖДИВЕНЦЕВ?"
"В КАКИХ СЛУЧАЯХ РАБОТОДАТЕЛЬ ВПРАВЕ ПРИМЕНИТЬ ДИСЦИПЛИНАРНОЕ ВЗЫСКАНИЕ?","В КАКИХ СЛУЧАЯХ РАБОТОДАТЕЛЬ ВПРАВЕ ПРИМЕНИТЬ ДИСЦИПЛИНАРНОЕ ВЗЫСКАНИЕ?"
"В КАКИХ СЛУЧАЯХ РАБОТОДАТЕЛЬ ВПРАВЕ ПРОИЗВОДИТЬ УДЕРЖАНИЯ ИЗ ЗАРАБОТНОЙ ПЛАТЫ?","В КАКИХ СЛУЧАЯХ РАБОТОДАТЕЛЬ ВПРАВЕ ПРОИЗВОДИТЬ УДЕРЖАНИЯ ИЗ ЗАРАБОТНОЙ ПЛАТЫ?"
"В КАКОМ РАЗМЕРЕ ПРОИЗВОДИТСЯ ДОПЛАТА ЗА СОВМЕЩЕНИЕ ПРОФЕССИЙ (ДОЛЖНОСТЕЙ), РАСШИРЕНИЕ ЗОН ОБСЛУЖИВАНИЯ?","В КАКОМ РАЗМЕРЕ ПРОИЗВОДИТСЯ ДОПЛАТА ЗА СОВМЕЩЕНИЕ ПРОФЕССИЙ (ДОЛЖНОСТЕЙ), РАСШИРЕНИЕ ЗОН ОБСЛУЖИВАНИЯ?"
"У КАКИХ РАБОТНИКОВ ЕСТЬ ПРЕИМУЩЕСТВЕННОЕ ПРАВО ОСТАТЬСЯ НА РАБОТЕ ПРИ СОКРАЩЕНИИ ЧИСЛЕННОСТИ ИЛИ ШТАТА?","У КАКИХ РАБОТНИКОВ ЕСТЬ ПРЕИМУЩЕСТВЕННОЕ ПРАВО ОСТАТЬСЯ НА РАБОТЕ ПРИ СОКРАЩЕНИИ ЧИСЛЕННОСТИ ИЛИ ШТАТА?"
"В КАКИХ КОЛИЧЕСТВАХ ФИЗИЧЕСКОЕ ЛИЦО МОЖЕТ ПЕРЕМЕЩАТЬ ЧЕРЕЗ ГРАНИЦУ ПРОДУКТЫ ПИТАНИЯ?","В КАКИХ КОЛИЧЕСТВАХ ФИЗИЧЕСКОЕ ЛИЦО МОЖЕТ ПЕРЕМЕЩАТЬ ЧЕРЕЗ ГРАНИЦУ ПРОДУКТЫ ПИТАНИЯ?"
"НА ЧТО ОБРАТИТЬ ВНИМАНИЕ ПРИ ПОКУПКЕ ПОЛИСА КАСКО?","НА ЧТО ОБРАТИТЬ ВНИМАНИЕ ПРИ ПОКУПКЕ ПОЛИСА КАСКО?"
"НА ЧТО ОБРАТИТЬ ВНИМАНИЕ ПРИ ПРИОБРЕТЕНИИ ТУРИСТСКОЙ ПУТЕВКИ?","НА ЧТО ОБРАТИТЬ ВНИМАНИЕ ПРИ ПРИОБРЕТЕНИИ ТУРИСТСКОЙ ПУТЕВКИ?"
"НА КАКУЮ СУММУ И В КАКОМ КОЛИЧЕСТВЕ МОЖНО ВВЕЗТИ ТОВАРЫ ИЗ-ЗА ГРАНИЦЫ?","НА КАКУЮ СУММУ И В КАКОМ КОЛИЧЕСТВЕ МОЖНО ВВЕЗТИ ТОВАРЫ ИЗ-ЗА ГРАНИЦЫ?"
"ПО КАКИМ ОСНОВАНИЯМ МОГУТ ОТКАЗАТЬ В ПРЕДОСТАВЛЕНИИ КРЕДИТА?","ПО КАКИМ ОСНОВАНИЯМ МОГУТ ОТКАЗАТЬ В ПРЕДОСТАВЛЕНИИ КРЕДИТА?"
"ЗА КАКИЕ НЕДОСТАТКИ ТОВАРА ОТВЕЧАЕТ ПРОДАВЕЦ, А ЗА КАКИЕ - ПОТРЕБИТЕЛЬ?","ЗА КАКИЕ НЕДОСТАТКИ ТОВАРА ОТВЕЧАЕТ ПРОДАВЕЦ, А ЗА КАКИЕ - ПОТРЕБИТЕЛЬ?"
"ЗА КАКИЕ НЕДОСТАТКИ ТОВАРА ОТВЕЧАЕТ ПРОДАВЕЦ, А ЗА КАКИЕ - ПОТРЕБИТЕЛЬ?","когда продовец обязан обменять товар?"
"ПО КАКИМ ОСНОВАНИЯМ ВОЗМОЖНО ЗАПРЕТИТЬ ВЪЕЗД НА ТЕРРИТОРИЮ РФ ИНОСТРАНЦА ИЛИ ЛИЦА БЕЗ ГРАЖДАНСТВА?","ПО КАКИМ ОСНОВАНИЯМ ВОЗМОЖНО ЗАПРЕТИТЬ ВЪЕЗД НА ТЕРРИТОРИЮ РФ ИНОСТРАНЦА ИЛИ ЛИЦА БЕЗ ГРАЖДАНСТВА?"
"ПО КАКИМ ПОКАЗАНИЯМ ПРОВОДИТСЯ ПРЕРЫВАНИЕ БЕРЕМЕННОСТИ?","ПО КАКИМ ПОКАЗАНИЯМ ПРОВОДИТСЯ ПРЕРЫВАНИЕ БЕРЕМЕННОСТИ?"
"ПО КАКОМУ КУРСУ СПИСЫВАЮТСЯ СРЕДСТВА С КАРТОЧНОГО СЧЕТА, ЕСЛИ ВАЛЮТА ОПЕРАЦИИ И ВАЛЮТА КАРТЫ НЕ СОВПАДАЮТ?","ПО КАКОМУ КУРСУ СПИСЫВАЮТСЯ СРЕДСТВА С КАРТОЧНОГО СЧЕТА, ЕСЛИ ВАЛЮТА ОПЕРАЦИИ И ВАЛЮТА КАРТЫ НЕ СОВПАДАЮТ?"
"КАК И В КАКОЙ СРОК МОЖНО ОБРАТИТЬСЯ ЗА ВОЗВРАТОМ ИЗЛИШНЕ ВЗЫСКАННОГО НАЛОГА (ПЕНЕЙ, ШТРАФОВ)?","В какие сроки можно вернуть часть налоговых выплат и где и как это сделать?"
"КАК И В КАКОЙ СРОК МОЖНО ОБРАТИТЬСЯ ЗА ВОЗВРАТОМ ИЗЛИШНЕ ВЗЫСКАННОГО НАЛОГА (ПЕНЕЙ, ШТРАФОВ)?","КАК И В КАКОЙ СРОК МОЖНО ОБРАТИТЬСЯ ЗА ВОЗВРАТОМ ИЗЛИШНЕ ВЗЫСКАННОГО НАЛОГА (ПЕНЕЙ, ШТРАФОВ)?"
"КАК И В КАКОЙ СРОК МОЖНО ОБРАТИТЬСЯ ЗА ВОЗВРАТОМ ИЗЛИШНЕ ВЗЫСКАННОГО НАЛОГА (ПЕНЕЙ, ШТРАФОВ)?","Куда обращаться, чтобы вернуть часть средств взысканных как налоги?"
"КАК И В КАКОЙ СРОК МОЖНО ОБРАТИТЬСЯ ЗА ВОЗВРАТОМ ИЗЛИШНЕ ВЗЫСКАННОГО НАЛОГА (ПЕНЕЙ, ШТРАФОВ)?","Можно ли вернуть часть своих налогов назад? Как это сделать?"
"КАК И В КАКОЙ СРОК МОЖНО ОБРАТИТЬСЯ ЗА ВОЗВРАТОМ ИЗЛИШНЕ ВЗЫСКАННОГО НАЛОГА (ПЕНЕЙ, ШТРАФОВ)?","Возможно ли вернуть часть средств, отданных как налоги? Если да, то как?"
"КАК И В КАКОЙ СРОК НАЛОГОВЫЙ ОРГАН МОЖЕТ ВЗЫСКАТЬ ЗАДОЛЖЕННОСТЬ ПО НАЛОГАМ?","КАК И В КАКОЙ СРОК НАЛОГОВЫЙ ОРГАН МОЖЕТ ВЗЫСКАТЬ ЗАДОЛЖЕННОСТЬ ПО НАЛОГАМ?"
"КТО И В КАКИХ СЛУЧАЯХ МОЖЕТ ОГРАНИЧИТЬ ПРАВО ЛИЦА НА РАСПОРЯЖЕНИЕ СРЕДСТВАМИ НА ЕГО БАНКОВСКОМ СЧЕТЕ?","в каких случаях могут заблокировать банковский счет?"
"КТО И В КАКИХ СЛУЧАЯХ МОЖЕТ ОГРАНИЧИТЬ ПРАВО ЛИЦА НА РАСПОРЯЖЕНИЕ СРЕДСТВАМИ НА ЕГО БАНКОВСКОМ СЧЕТЕ?","КТО И В КАКИХ СЛУЧАЯХ МОЖЕТ ОГРАНИЧИТЬ ПРАВО ЛИЦА НА РАСПОРЯЖЕНИЕ СРЕДСТВАМИ НА ЕГО БАНКОВСКОМ СЧЕТЕ?"
"КАК И В КАКОМ РАЗМЕРЕ ВЗЫСКИВАЕТСЯ НЕУСТОЙКА ПО АЛИМЕНТАМ?","КАК И В КАКОМ РАЗМЕРЕ ВЗЫСКИВАЕТСЯ НЕУСТОЙКА ПО АЛИМЕНТАМ?"
"КАК И В КАКОМ РАЗМЕРЕ ВЗЫСКИВАЕТСЯ НЕУСТОЙКА ПО АЛИМЕНТАМ?","Каковы неустойки по алиментам?"
"КТО И НА КАКИХ УСЛОВИЯХ МОЖЕТ СЛУЖИТЬ ПО КОНТРАКТУ?","КТО И НА КАКИХ УСЛОВИЯХ МОЖЕТ СЛУЖИТЬ ПО КОНТРАКТУ?"
"КТО И КАК ПРОВОДИТ ПРОВЕРКУ КАЧЕСТВА ТОВАРА?","В чем заключается процесс проверки качества товара?"
"КТО И КАК ПРОВОДИТ ПРОВЕРКУ КАЧЕСТВА ТОВАРА?","КТО И КАК ПРОВОДИТ ПРОВЕРКУ КАЧЕСТВА ТОВАРА?"
"КТО И КАК УПРАВЛЯЕТ НАКОПИТЕЛЬНОЙ ПЕНСИЕЙ?","Как и где получить информацию по накопительной пенсии?"
"КТО И КАК УПРАВЛЯЕТ НАКОПИТЕЛЬНОЙ ПЕНСИЕЙ?","КТО И КАК УПРАВЛЯЕТ НАКОПИТЕЛЬНОЙ ПЕНСИЕЙ?"
"КАК И КУДА ВСТАТЬ НА УЧЕТ ПО БЕРЕМЕННОСТИ?","КАК И КУДА ВСТАТЬ НА УЧЕТ ПО БЕРЕМЕННОСТИ?"
"КАК ПРИ РАЗВОДЕ ПОДЕЛИТЬ КВАРТИРУ, КУПЛЕННУЮ В БРАКЕ, В ТОМ ЧИСЛЕ В ИПОТЕКУ?","КАК ПРИ РАЗВОДЕ ПОДЕЛИТЬ КВАРТИРУ, КУПЛЕННУЮ В БРАКЕ, В ТОМ ЧИСЛЕ В ИПОТЕКУ?"
"ДЛЯ ЧЕГО НУЖЕН ЛИЧНЫЙ КАБИНЕТ НАЛОГОПЛАТЕЛЬЩИКА?","ДЛЯ ЧЕГО НУЖЕН ЛИЧНЫЙ КАБИНЕТ НАЛОГОПЛАТЕЛЬЩИКА?"
"ДЛЯ ЧЕГО НУЖНА СТРАХОВКА ОТ НЕВЫЕЗДА ЗА ГРАНИЦУ?","ДЛЯ ЧЕГО НУЖНА СТРАХОВКА ОТ НЕВЫЕЗДА ЗА ГРАНИЦУ?"
"КАК СНЯТЬ С УЧЕТА ТРАНСПОРТНОЕ СРЕДСТВО В СВЯЗИ С УТРАТОЙ ИЛИ ХИЩЕНИЕМ?","КАК СНЯТЬ С УЧЕТА ТРАНСПОРТНОЕ СРЕДСТВО В СВЯЗИ С УТРАТОЙ ИЛИ ХИЩЕНИЕМ?"
"КАК СНЯТЬ С КВАРТИРЫ СТАТУС СЛУЖЕБНОГО ЖИЛЬЯ?","КАК СНЯТЬ С КВАРТИРЫ СТАТУС СЛУЖЕБНОГО ЖИЛЬЯ?"
"КАК СНЯТЬ С КВАРТИРЫ СТАТУС СЛУЖЕБНОГО ЖИЛЬЯ?","как перевести квартиру из категории служебного жилья?"
"ЧТО БУДЕТ ЗА НЕОПЛАТУ ИЛИ ПРОСРОЧКУ ОПЛАТЫ КОММУНАЛЬНЫХ УСЛУГ?","ЧТО БУДЕТ ЗА НЕОПЛАТУ ИЛИ ПРОСРОЧКУ ОПЛАТЫ КОММУНАЛЬНЫХ УСЛУГ?"
"ЧТО БУДЕТ ЗА УСТАНОВКУ НА АВТОМОБИЛЕ КСЕНОНОВЫХ ЛАМП?","ЧТО БУДЕТ ЗА УСТАНОВКУ НА АВТОМОБИЛЕ КСЕНОНОВЫХ ЛАМП?"
"ЧТО БУДЕТ ЗА НЕСВОЕВРЕМЕННУЮ ЯВКУ БОЛЬНОГО НА ПРИЕМ?","Что если больной опоздает или придет на прием раньше положенного?"
"ЧТО БУДЕТ ЗА НЕСВОЕВРЕМЕННУЮ ЯВКУ БОЛЬНОГО НА ПРИЕМ?","ЧТО БУДЕТ ЗА НЕСВОЕВРЕМЕННУЮ ЯВКУ БОЛЬНОГО НА ПРИЕМ?"
"ЧТО ТАКОЕ ТСН И ЧЕМ ОНО ОТЛИЧАЕТСЯ ОТ ТСЖ?","ЧТО ТАКОЕ ТСН И ЧЕМ ОНО ОТЛИЧАЕТСЯ ОТ ТСЖ?"
"КАК ВЕСТИ СЕБЯ С КОЛЛЕКТОРАМИ?","КАК ВЕСТИ СЕБЯ С КОЛЛЕКТОРАМИ?"
"КТО ИМЕЕТ ПРАВО НА ПОЛУЧЕНИЕ ЖИЛЬЯ ВНЕ ОЧЕРЕДИ?","КТО ИМЕЕТ ПРАВО НА ПОЛУЧЕНИЕ ЖИЛЬЯ ВНЕ ОЧЕРЕДИ?"
"КТО ИМЕЕТ ПРАВО НА ДОСРОЧНУЮ СТРАХОВУЮ ПЕНСИЮ ПО СТАРОСТИ?","КТО ИМЕЕТ ПРАВО НА ДОСРОЧНУЮ СТРАХОВУЮ ПЕНСИЮ ПО СТАРОСТИ?"
"КТО ИМЕЕТ ПРАВО НА СОЦИАЛЬНУЮ ПЕНСИЮ?","КТО ИМЕЕТ ПРАВО НА СОЦИАЛЬНУЮ ПЕНСИЮ?"
"КТО ИМЕЕТ ПРАВО НА БЕСПЛАТНОЕ ПИТАНИЕ В ШКОЛЕ?","КТО ИМЕЕТ ПРАВО НА БЕСПЛАТНОЕ ПИТАНИЕ В ШКОЛЕ?"
"КТО ИМЕЕТ ПРАВО НА СОЦИАЛЬНУЮ ДОПЛАТУ К ПЕНСИИ?","КТО ИМЕЕТ ПРАВО НА СОЦИАЛЬНУЮ ДОПЛАТУ К ПЕНСИИ?"
"КТО ИМЕЕТ ПРАВО НА СОЦИАЛЬНУЮ ДОПЛАТУ К ПЕНСИИ?","Какие группы лиц имеют право на прибавки к пенсии?"
"КТО ИМЕЕТ ПРАВО НА СТАНДАРТНЫЙ ВЫЧЕТ ПО НДФЛ НА СЕБЯ И КАК ЕГО ПОЛУЧИТЬ?","КТО ИМЕЕТ ПРАВО НА СТАНДАРТНЫЙ ВЫЧЕТ ПО НДФЛ НА СЕБЯ И КАК ЕГО ПОЛУЧИТЬ?"
"КТО ИМЕЕТ ПРАВО НА МАТЕРИНСКИЙ КАПИТАЛ?","КТО ИМЕЕТ ПРАВО НА МАТЕРИНСКИЙ КАПИТАЛ?"
"КТО ИМЕЕТ ПРАВО НА ПРИОБРЕТЕНИЕ ЖИЛЬЯ ЭКОНОМИЧЕСКОГО КЛАССА?","КТО ИМЕЕТ ПРАВО НА ПРИОБРЕТЕНИЕ ЖИЛЬЯ ЭКОНОМИЧЕСКОГО КЛАССА?"
"КТО ИМЕЕТ ПРАВО НА НАКОПИТЕЛЬНУЮ ПЕНСИЮ?","КТО ИМЕЕТ ПРАВО НА НАКОПИТЕЛЬНУЮ ПЕНСИЮ?"
"КТО ИМЕЕТ ПРАВО НА НАСЛЕДСТВЕННУЮ ТРАНСМИССИЮ?","КТО ИМЕЕТ ПРАВО НА НАСЛЕДСТВЕННУЮ ТРАНСМИССИЮ?"
